restart,seed,loglik,n_iter,converged
0,20260917,-3343.6498954115027,23,True
1,20260918,-3287.3556606788597,32,True
2,20260919,-3341.877984856579,27,True
3,20260920,-3339.756629962432,24,True
4,20260921,-3344.3853066428806,13,True
5,20260922,-3353.178862907165,35,True
6,20260923,-3357.5751541260097,16,True
7,20260924,-3342.8350593934115,13,True
8,20260925,-3341.8778154949064,15,True
9,20260926,-3287.355655155353,43,True
10,20260927,-3339.7566180135077,40,True
11,20260928,-3344.38530896267,31,True
12,20260929,-3298.4167023501745,13,True
13,20260930,-3287.355661046664,41,True
14,20260931,-3342.207815363349,25,True
15,20260932,-3405.707147086753,25,True
16,20260933,-3344.3853054297365,13,True
17,20260934,-3612.3859927716894,177,True
18,20260935,-3298.416702400747,12,True
19,20260936,-3344.385310464329,11,True
