date,p0,p1,p2,refit_date
2004-12-31,8.530833119300233e-14,2.447426604239493e-19,0.9999999999999146,2004-12-31
2005-01-31,4.400017806402467e-08,4.671119432532395e-22,0.9999999559998219,2004-12-31
2005-02-28,8.987232796082262e-07,6.118823470750891e-19,0.9999991012767204,2004-12-31
2005-03-31,3.850729809063906e-06,2.212644184027912e-17,0.999996149270191,2004-12-31
2005-04-30,1.0606388982171609e-10,1.5763064880871342e-14,0.9999999998939204,2004-12-31
2005-05-31,8.181796150810662e-09,9.888090360025604e-15,0.9999999918181939,2004-12-31
2005-06-30,5.551464381788396e-06,6.016393108492723e-15,0.9999944485356123,2004-12-31
2005-07-31,0.0021823042295937493,1.694467988948124e-19,0.9978176957704062,2004-12-31
2005-08-31,1.970768826663406e-07,9.893161137034611e-16,0.9999998029231163,2004-12-31
2005-09-30,0.00010701253568757653,1.1167956130331347e-16,0.9998929874643123,2004-12-31
2005-10-31,7.162604961744573e-08,0.00040240687249581963,0.9995975215014545,2004-12-31
2005-11-30,0.0031266158128588828,0.6207025126183288,0.37617087156881235,2004-12-31
2005-12-31,1.13259368760518e-07,4.236062061572222e-22,0.9999998867406312,2005-12-31
2006-01-31,9.610346776903396e-07,4.91049358681001e-24,0.9999990389653224,2005-12-31
2006-02-28,8.295024905924185e-07,5.002880856138445e-23,0.9999991704975094,2005-12-31
2006-03-31,9.14386786734705e-06,1.7588833643467603e-18,0.9999908561321327,2005-12-31
2006-04-30,2.9446566604197282e-05,1.1708748629579996e-15,0.9999705534333946,2005-12-31
2006-05-31,0.00039128027971658934,1.86365932721293e-17,0.9996087197202833,2005-12-31
2006-06-30,6.975580959454811e-08,2.669299699650615e-16,0.9999999302441902,2005-12-31
2006-07-31,5.0843047516117125e-06,3.36799503635819e-19,0.9999949156952483,2005-12-31
2006-08-31,4.6462452736626615e-07,2.419211663971042e-20,0.9999995353754727,2005-12-31
2006-09-30,3.488116894603633e-06,2.992390650117936e-22,0.9999965118831055,2005-12-31
2006-10-31,4.0765797832445014e-05,5.3260183938874484e-27,0.9999592342021676,2005-12-31
2006-11-30,7.782710620347601e-06,7.520316789506313e-33,0.9999922172893797,2005-12-31
2006-12-31,3.542747945075934e-08,5.0210317939485506e-23,0.9999999645725205,2006-12-31
2007-01-31,4.597487982977321e-06,2.1703832610339075e-16,0.9999954025120168,2006-12-31
2007-02-28,0.009455104772065005,2.8120305251917916e-13,0.9905448952276538,2006-12-31
2007-03-31,1.96888089816628e-05,4.610147525812798e-10,0.9999803107300036,2006-12-31
2007-04-30,2.809648819246726e-05,1.768252115593945e-11,0.999971903494125,2006-12-31
2007-05-31,5.33121980844367e-06,3.204634604033396e-10,0.9999946684597281,2006-12-31
2007-06-30,6.066089286065894e-05,1.1730517044237395e-09,0.9999393379340876,2006-12-31
2007-07-31,0.9996996647860271,3.610075267977129e-08,0.00030029911322029557,2006-12-31
2007-08-31,0.9999827118117247,1.7287242565468693e-05,9.45709775289879e-10,2006-12-31
2007-09-30,0.9925063402454622,0.007493655909295837,3.8452420417327435e-09,2006-12-31
2007-10-31,0.864313679278708,0.1356632794841796,2.3041237112420158e-05,2006-12-31
2007-11-30,8.710221305476868e-06,0.9999912409421763,4.883651816818239e-08,2006-12-31
2007-12-31,7.17105904853735e-09,3.641164344573397e-09,0.9999999891877767,2007-12-31
2008-01-31,7.593400197246668e-13,6.666795384140199e-06,0.9999933332038565,2007-12-31
2008-02-29,1.6183832573101775e-15,0.9254831149210849,0.07451688507891356,2007-12-31
2008-03-31,5.980268416743952e-19,0.9999999656065307,3.439346926486186e-08,2007-12-31
2008-04-30,3.5156141994958166e-13,0.9999918183653239,8.181634324491096e-06,2007-12-31
2008-05-31,6.506898020683892e-13,0.999996871996054,3.128003295240955e-06,2007-12-31
2008-06-30,7.716493336641854e-14,0.9995056062664428,0.0004943937334799817,2007-12-31
2008-07-31,1.303662285726167e-12,0.999734918734816,0.0002650812638802869,2007-12-31
2008-08-31,1.2549596290548825e-12,0.9802645785748831,0.019735421423861806,2007-12-31
2008-09-30,7.717960773330084e-17,0.9999999768866663,2.3113333623270692e-08,2007-12-31
2008-10-31,1.5215005754629743e-31,1.0,4.472056455935847e-31,2007-12-31
2008-11-30,7.802027346066896e-27,1.0,2.990936290909982e-26,2007-12-31
2008-12-31,1.0,1.733352789185361e-24,8.872059391959668e-49,2008-12-31
2009-01-31,1.0,4.281203406773953e-26,7.795484258516622e-65,2008-12-31
2009-02-28,1.0,2.850303590531166e-20,1.1162243310856438e-69,2008-12-31
2009-03-31,0.9999999850533112,1.494668867590846e-08,6.036312237520518e-54,2008-12-31
2009-04-30,0.9999999999347929,6.520710896757984e-11,1.6463983508082566e-47,2008-12-31
2009-05-31,0.9999999999994652,5.347417901856191e-13,1.633097724308254e-52,2008-12-31
2009-06-30,0.9999999999942923,5.707626117668553e-12,1.1759920725677075e-56,2008-12-31
2009-07-31,0.9999999878721226,1.2127877412617654e-08,6.91536329049793e-50,2008-12-31
2009-08-31,0.9999999181284706,8.187152942660193e-08,2.1964093911332372e-42,2008-12-31
2009-09-30,0.9993802702020481,0.0006197297979518612,5.763750210029807e-29,2008-12-31
2009-10-31,1.1421886453343915e-10,0.9999999998660042,1.9776886663971694e-11,2008-12-31
2009-11-30,2.6899341568904966e-11,0.9999999999730995,1.0148749674809087e-15,2008-12-31
2009-12-31,3.4938171583929916e-07,0.9999996506182356,4.8454278344854714e-14,2009-12-31
2010-01-31,2.8641634489312638e-08,0.999999971335937,2.2428466600608166e-11,2009-12-31
2010-02-28,1.2182374702968058e-10,0.999999998562114,1.3160623389003291e-09,2009-12-31
2010-03-31,3.671411506819306e-08,0.9999995606207398,4.0266514516855274e-07,2009-12-31
2010-04-30,4.117412764351138e-13,0.9999984896260323,1.5103735557910748e-06,2009-12-31
2010-05-31,3.957179073389906e-12,0.9999999999952073,8.355396118791058e-13,2009-12-31
2010-06-30,3.387850400088423e-19,1.0,8.762464715764567e-25,2009-12-31
2010-07-31,1.1252211054834206e-14,0.9999999999999888,1.624486660295308e-21,2009-12-31
2010-08-31,1.8925312203709047e-12,0.9999999999981075,5.059896765394299e-22,2009-12-31
2010-09-30,9.306299657124485e-12,0.9999999999906936,1.199252141689808e-16,2009-12-31
2010-10-31,4.965084238052965e-11,0.9999999999490148,1.3343700890110824e-12,2009-12-31
2010-11-30,3.7644974806603504e-08,0.999999962347588,7.4370818764524e-12,2009-12-31
2010-12-31,9.84968469416119e-14,1.6886299109493215e-25,0.9999999999999015,2010-12-31
2011-01-31,3.4514235928492403e-15,3.055781382332653e-20,0.9999999999999966,2010-12-31
2011-02-28,1.9628547563777168e-13,8.507152225625103e-18,0.9999999999998037,2010-12-31
2011-03-31,6.731700825174158e-14,1.0675616315932203e-19,0.9999999999999327,2010-12-31
2011-04-30,3.719451022723134e-14,4.0752944702763254e-20,0.9999999999999628,2010-12-31
2011-05-31,7.055213804781838e-13,4.7193852260887965e-12,0.999999999994575,2010-12-31
2011-06-30,1.6111907537924993e-11,9.65648433821438e-10,0.9999999990182397,2010-12-31
2011-07-31,7.428060649869891e-11,1.584597370618596e-05,0.9999841539520131,2010-12-31
2011-08-31,7.217181239180732e-08,0.00806220226463692,0.9919377255635506,2010-12-31
2011-09-30,0.006171624728260099,0.051878350256970206,0.9419500250147697,2010-12-31
2011-10-31,1.0516122576166787e-05,8.628130833802704e-05,0.9999032025690857,2010-12-31
