restart,seed,lower_bound,n_iter,converged
0,20260917,-9.05514015624997,19,True
1,20260918,-9.05514015624997,19,True
2,20260919,-9.003864757205244,26,True
3,20260920,-9.003821945146054,22,True
4,20260921,-9.002991462739738,17,True
5,20260922,-9.003847413464678,22,True
6,20260923,-9.002933739989674,22,True
7,20260924,-9.003830890453484,22,True
8,20260925,-9.002947706386061,17,True
9,20260926,-9.003860181209548,21,True
10,20260927,-9.02457544208924,63,True
11,20260928,-9.003742488141038,33,True
12,20260929,-9.00295814323549,25,True
13,20260930,-9.003742150842909,32,True
14,20260931,-9.003726345599178,33,True
15,20260932,-9.05514015624997,19,True
16,20260933,-9.055157274451224,19,True
17,20260934,-9.055191568287995,19,True
18,20260935,-9.055157274451224,19,True
19,20260936,-9.05514015624997,19,True
