restart,seed,lower_bound,n_iter,converged
0,20260917,-8.955544619575049,17,True
1,20260918,-9.017794704222059,20,True
2,20260919,-9.017762590167445,18,True
3,20260920,-9.017757209723797,18,True
4,20260921,-8.95543358938519,16,True
5,20260922,-8.955573306823224,24,True
6,20260923,-8.955256456307335,24,True
7,20260924,-9.017777782046979,21,True
8,20260925,-8.955530754240423,39,True
9,20260926,-9.017757209723797,18,True
10,20260927,-8.955286963086426,19,True
11,20260928,-8.95551925044041,23,True
12,20260929,-8.955471036834108,15,True
13,20260930,-9.017777782046979,21,True
14,20260931,-9.017757209723797,18,True
15,20260932,-9.017757209723795,18,True
16,20260933,-8.974734592824696,33,True
17,20260934,-9.017770052540556,18,True
18,20260935,-8.95522008438976,24,True
19,20260936,-8.955565873104549,38,True
