restart,seed,loglik,n_iter,converged
0,20260917,-1065.239909334674,19,True
1,20260918,-1039.34623699288,23,True
2,20260919,-1070.158957041942,55,True
3,20260920,-998.1210888258062,30,True
4,20260921,-941.8576642379672,62,True
5,20260922,-1114.3874852533945,26,True
6,20260923,-1082.2405426811674,41,True
7,20260924,-1038.3563496960055,16,True
8,20260925,-1016.7816264037087,22,True
9,20260926,-935.213628096478,9,True
10,20260927,-1069.0404097697115,16,True
11,20260928,-999.0871863337476,16,True
12,20260929,-1053.5145781289257,11,True
13,20260930,-1163.8867089833207,32,True
14,20260931,-1076.3431300308869,31,True
15,20260932,-957.9711686752353,21,True
16,20260933,-1021.0751386778844,38,True
17,20260934,-1052.7682112336076,14,True
18,20260935,-1058.2926679204809,12,True
19,20260936,-1081.2925003258536,40,True
