restart,seed,lower_bound,n_iter,converged
0,20260917,-7.691739105222804,26,True
1,20260918,-8.114088852883627,18,True
2,20260919,-8.11408381005697,18,True
3,20260920,-7.780711069867533,25,True
4,20260921,-7.780771014321729,27,True
5,20260922,-7.822874678665315,51,True
6,20260923,-7.822874678665315,51,True
7,20260924,-8.114086305416109,18,True
8,20260925,-8.114046089268642,16,True
9,20260926,-7.780777693901459,27,True
10,20260927,-7.822874678665315,51,True
11,20260928,-7.780777693901459,27,True
12,20260929,-7.692143500774924,8,True
13,20260930,-7.691739105222804,26,True
14,20260931,-7.780771014321729,27,True
15,20260932,-8.114074647043523,16,True
16,20260933,-7.780777693901459,27,True
17,20260934,-7.776501543738225,31,True
18,20260935,-7.692143500774924,8,True
19,20260936,-7.6917171185562765,7,True
