restart,seed,loglik,n_iter,converged
0,20260917,-2548.334818643816,56,True
1,20260918,-2390.9541173907373,54,True
2,20260919,-2294.066397894572,20,True
3,20260920,-2340.053444209609,38,True
4,20260921,-2316.8185045445043,20,True
5,20260922,-2286.1585947308595,31,True
6,20260923,-2304.2874750851697,21,True
7,20260924,-2315.372886173328,44,True
8,20260925,-2275.6393704266225,31,True
9,20260926,-2304.287473050954,27,True
10,20260927,-2427.311791508408,24,True
11,20260928,-2279.7344737093786,34,True
12,20260929,-2365.2004796638284,36,True
13,20260930,-2297.3752031182303,35,True
14,20260931,-2266.051459231433,25,True
15,20260932,-2469.035820762106,99,True
16,20260933,-2295.54303705417,50,True
17,20260934,-2481.044334162396,24,True
18,20260935,-2297.37519640216,38,True
19,20260936,-2304.287457439773,20,True
