restart,seed,loglik,n_iter,converged
0,20260917,-1407.4663368021154,28,True
1,20260918,-1320.6241528148428,15,True
2,20260919,-1303.920437401658,13,True
3,20260920,-1285.5741314806473,25,True
4,20260921,-1301.170499833856,19,True
5,20260922,-1210.0895033900154,28,True
6,20260923,-1317.44128825497,23,True
7,20260924,-1303.920442729762,13,True
8,20260925,-1307.6799134662276,39,True
9,20260926,-1336.4898557920428,26,True
10,20260927,-1293.8533957954157,27,True
11,20260928,-1303.9204585311738,25,True
12,20260929,-1298.2349214911185,37,True
13,20260930,-1329.620585001423,13,True
14,20260931,-1340.549797787216,101,True
15,20260932,-1360.2981318093466,82,True
16,20260933,-1255.7399942655927,33,True
17,20260934,-1407.4663356972999,21,True
18,20260935,-1294.1240059160982,14,True
19,20260936,-1297.083074889936,14,True
