restart,seed,lower_bound,n_iter,converged
0,20260917,-8.11193266131408,46,True
1,20260918,-7.807833635825881,33,True
2,20260919,-8.170167840684723,13,True
3,20260920,-8.170186253995036,13,True
4,20260921,-8.263095767027265,15,True
5,20260922,-8.170171025659839,13,True
6,20260923,-8.170186253995036,13,True
7,20260924,-8.170204091839784,15,True
8,20260925,-7.911407949736533,28,True
9,20260926,-8.38253102033693,22,True
10,20260927,-8.17023600658017,17,True
11,20260928,-8.291486898096485,29,True
12,20260929,-8.170186253995038,13,True
13,20260930,-8.170174259432184,17,True
14,20260931,-8.170174259432184,17,True
15,20260932,-8.340959552374665,38,True
16,20260933,-7.911397674137881,28,True
17,20260934,-8.031437633730611,53,True
18,20260935,-8.304647495829624,24,True
19,20260936,-8.170174259432184,17,True
