restart,seed,loglik,n_iter,converged
0,20260917,-2346.4059718304143,69,True
1,20260918,-2085.1194543827346,14,True
2,20260919,-2056.9188545710435,47,True
3,20260920,-2081.8021006501162,33,True
4,20260921,-2060.5627710189433,9,True
5,20260922,-2047.999815541787,30,True
6,20260923,-2051.0863106981797,26,True
7,20260924,-2060.5627754975126,10,True
8,20260925,-2096.8426812356356,38,True
9,20260926,-2059.5561795734466,24,True
10,20260927,-2060.562775860335,13,True
11,20260928,-2054.9936516602734,13,True
12,20260929,-2060.562765590494,14,True
13,20260930,-2060.557909835635,10,True
14,20260931,-2119.159191329736,46,True
15,20260932,-2059.159617775753,57,True
16,20260933,-2121.8533837205523,56,True
17,20260934,-2101.4744964919487,41,True
18,20260935,-2060.562779262376,16,True
19,20260936,-2053.400254204755,17,True
