restart,seed,lower_bound,n_iter,converged
0,20260917,-8.667366532105742,19,True
1,20260918,-8.667121738936423,35,True
2,20260919,-8.667366532105742,19,True
3,20260920,-8.664039330948723,21,True
4,20260921,-8.668086656667814,18,True
5,20260922,-8.664327607187122,24,True
6,20260923,-8.649258122493478,33,True
7,20260924,-8.664300815359905,21,True
8,20260925,-8.649075628340483,28,True
9,20260926,-8.667366532105744,19,True
10,20260927,-8.574762049606196,10,True
11,20260928,-8.667366532105742,19,True
12,20260929,-8.667300286136959,19,True
13,20260930,-8.66327170805324,23,True
14,20260931,-8.612878186689999,20,True
15,20260932,-8.649287154966334,32,True
16,20260933,-8.612878186689999,20,True
17,20260934,-8.574762049606196,10,True
18,20260935,-8.680682315411818,15,True
19,20260936,-8.574762049606196,10,True
