restart,seed,lower_bound,n_iter,converged
0,20260917,-8.795936255195315,49,True
1,20260918,-8.953913137091664,48,True
2,20260919,-8.795935385174099,48,True
3,20260920,-8.795939903969582,46,True
4,20260921,-8.795945558644377,34,True
5,20260922,-8.79592912476908,43,True
6,20260923,-8.795949907006401,35,True
7,20260924,-8.953907031326588,58,True
8,20260925,-8.953897055434373,47,True
9,20260926,-8.953957934386207,43,True
10,20260927,-8.795946906929423,40,True
11,20260928,-8.7959499070064,35,True
12,20260929,-8.795945558644378,34,True
13,20260930,-8.953957934386207,43,True
14,20260931,-8.953921414181721,41,True
15,20260932,-8.953907031326588,58,True
16,20260933,-8.953897055434373,47,True
17,20260934,-8.953907031326588,58,True
18,20260935,-8.7959301073081,57,True
19,20260936,-8.95392611475577,53,True
