restart,seed,loglik,n_iter,converged
0,20260917,-3132.6409965309044,35,True
1,20260918,-3119.7752599675227,21,True
2,20260919,-3084.7933505971823,16,True
3,20260920,-3103.0258977618755,62,True
4,20260921,-3121.0190789504477,16,True
5,20260922,-3064.5180253355375,38,True
6,20260923,-3046.7206687492912,15,True
7,20260924,-3082.6449630939737,11,True
8,20260925,-3081.665419781444,63,True
9,20260926,-3051.081064845435,81,True
10,20260927,-3093.059390292983,22,True
11,20260928,-3118.9375831780803,24,True
12,20260929,-3112.218847898068,41,True
13,20260930,-3026.437110587142,58,True
14,20260931,-3035.2533058056465,74,True
15,20260932,-3078.279775679743,39,True
16,20260933,-3105.7813513086667,66,True
17,20260934,-3047.57880324687,34,True
18,20260935,-3033.504226521182,25,True
19,20260936,-3082.6449593498232,32,True
