refit_date,state,matched_distance,sort_rule_state
2004-12-31,0,0.0,0
2004-12-31,1,0.0,1
2004-12-31,2,0.0,2
2005-12-31,0,1.1686399553828204,1
2005-12-31,1,0.19669579940843393,0
2005-12-31,2,1.0087062178364772,2
2006-12-31,0,0.005819244375914438,1
2006-12-31,1,0.311921281072219,0
2006-12-31,2,0.4995152580366257,2
2007-12-31,0,0.8333108752193705,1
2007-12-31,1,0.2362092663295148,0
2007-12-31,2,0.6420216639701579,2
2008-12-31,0,1.027446740562741,1
2008-12-31,1,0.5652536304906445,0
2008-12-31,2,0.6957839149347711,2
2009-12-31,0,0.8331864071969197,1
2009-12-31,1,1.9440649311584866,0
2009-12-31,2,0.8452339811842644,2
2010-12-31,0,0.8900890123523971,2
2010-12-31,1,0.27224702254647126,0
2010-12-31,2,1.3960601623973856,1
2011-12-31,0,0.16694978174083178,2
2011-12-31,1,0.22569323695164387,0
2011-12-31,2,0.35036971889904056,1
2012-12-31,0,0.17006066281412774,2
2012-12-31,1,0.8917636182231319,0
2012-12-31,2,0.5013268594629964,1
2013-12-31,0,0.05869124498153005,2
2013-12-31,1,0.8537913288259601,0
2013-12-31,2,0.48126587022676526,1
2014-12-31,0,0.9794948471127118,2
2014-12-31,1,0.7727687769392887,0
2014-12-31,2,0.9078499797314651,1
2015-12-31,0,1.0977337538266156,2
2015-12-31,1,1.0782618546175702,0
2015-12-31,2,0.8332984187705802,1
2016-12-31,0,1.1008456010788792,1
2016-12-31,1,1.8179223796432191,0
2016-12-31,2,0.9656875914903088,2
2017-12-31,0,0.9334780381634812,1
2017-12-31,1,1.7920211327166566,0
2017-12-31,2,0.9851480741658408,2
2018-12-31,0,1.2083980811413557,1
2018-12-31,1,2.0862254848040824,0
2018-12-31,2,1.213909569672358,2
2019-12-31,0,0.7022750212515059,1
2019-12-31,1,2.1314511105461564,0
2019-12-31,2,0.9255331204824324,2
2020-12-31,0,0.6862009484796142,2
2020-12-31,1,1.7986149394655362,0
2020-12-31,2,0.8533537859384006,1
2021-12-31,0,1.1404611612115279,2
2021-12-31,1,1.76031457834152,0
2021-12-31,2,0.9067329334407722,1
2022-12-31,0,1.1681555746257126,2
2022-12-31,1,1.3426353386989316,0
2022-12-31,2,1.209551595936259,1
2023-12-31,0,0.3379780806345852,2
2023-12-31,1,1.2902487640617777,0
2023-12-31,2,0.6962319080998067,1
2024-12-31,0,0.1307679046663605,2
2024-12-31,1,0.6514261957108328,0
2024-12-31,2,0.31019961295959414,1
2025-12-31,0,0.1391341988450273,2
2025-12-31,1,0.6249481150297442,0
2025-12-31,2,0.3738074843089048,1
