restart,seed,loglik,n_iter,converged
0,20260917,-1293.3299238996367,31,True
1,20260918,-1367.8545916881442,31,True
2,20260919,-1367.854593294604,32,True
3,20260920,-1367.8545917144631,34,True
4,20260921,-1367.8545931276153,31,True
5,20260922,-1281.446349752835,35,True
6,20260923,-1367.8545915035363,36,True
7,20260924,-1347.7516188465738,25,True
8,20260925,-1293.3299166325921,8,True
9,20260926,-1304.8481774594254,33,True
10,20260927,-1425.1157100052596,11,True
11,20260928,-1367.916798812529,39,True
12,20260929,-1281.446349737585,36,True
13,20260930,-1304.848173207043,32,True
14,20260931,-1367.854594259898,33,True
15,20260932,-1281.4463500612912,189,True
16,20260933,-1293.329919085922,33,True
17,20260934,-1378.846590077018,29,True
18,20260935,-1293.3299236420567,32,True
19,20260936,-1367.8545914841648,33,True
