restart,seed,lower_bound,n_iter,converged
0,20260917,-8.433758593141008,78,True
1,20260918,-8.433780715188078,77,True
2,20260919,-8.556783006879858,23,True
3,20260920,-8.433900257813688,82,True
4,20260921,-8.626358333002088,47,True
5,20260922,-8.433842439610428,74,True
6,20260923,-8.687570914331586,8,True
7,20260924,-8.433900257813688,82,True
8,20260925,-8.433768168108552,78,True
9,20260926,-8.433791262659254,75,True
10,20260927,-8.433741774645444,76,True
11,20260928,-8.433930162503952,83,True
12,20260929,-8.433779515968483,75,True
13,20260930,-8.626358333002088,47,True
14,20260931,-8.433780715188078,77,True
15,20260932,-8.626358333002088,47,True
16,20260933,-8.556776256062678,27,True
17,20260934,-8.62630343002934,46,True
18,20260935,-8.433872974558708,84,True
19,20260936,-8.636460988309945,33,True
