restart,seed,lower_bound,n_iter,converged
0,20260917,-8.063290911566789,12,True
1,20260918,-7.750876621146343,36,True
2,20260919,-7.776227499335831,54,True
3,20260920,-8.063290911566789,12,True
4,20260921,-7.750876621146343,36,True
5,20260922,-8.063290911566789,12,True
6,20260923,-8.05389012632085,18,True
7,20260924,-7.750935647366191,35,True
8,20260925,-7.750875609399912,36,True
9,20260926,-7.776234484723374,58,True
10,20260927,-8.053920530918347,19,True
11,20260928,-7.750889552103887,36,True
12,20260929,-8.053920530918347,19,True
13,20260930,-8.053920530918347,19,True
14,20260931,-7.750892977781488,35,True
15,20260932,-7.750887082821646,36,True
16,20260933,-8.053920530918347,19,True
17,20260934,-7.776263765410853,58,True
18,20260935,-7.924727603372943,34,True
19,20260936,-7.750889552103887,36,True
