restart,seed,lower_bound,n_iter,converged
0,20260917,-7.874783489472035,21,True
1,20260918,-7.962646803929133,15,True
2,20260919,-7.826147271745453,35,True
3,20260920,-7.980145620553047,18,True
4,20260921,-8.032745880688989,41,True
5,20260922,-7.955206990593589,19,True
6,20260923,-7.980071571540243,19,True
7,20260924,-7.955177637854136,18,True
8,20260925,-7.955177637854136,18,True
9,20260926,-7.9626585951435125,16,True
10,20260927,-7.389302277878706,12,True
11,20260928,-7.826266335161542,28,True
12,20260929,-7.674287067535692,16,True
13,20260930,-7.980071571540244,19,True
14,20260931,-7.980115794596399,19,True
15,20260932,-7.874783489472035,21,True
16,20260933,-7.874783489472035,21,True
17,20260934,-7.389289974040627,10,True
18,20260935,-7.962646803929133,15,True
19,20260936,-7.874783489472035,21,True
