restart,seed,lower_bound,n_iter,converged
0,20260917,-8.242456610242767,49,True
1,20260918,-8.242459099152127,52,True
2,20260919,-8.242463715844819,45,True
3,20260920,-8.242455135492493,52,True
4,20260921,-8.418064566635927,21,True
5,20260922,-8.242459581135957,35,True
6,20260923,-8.058869315411574,12,True
7,20260924,-8.242456526947418,51,True
8,20260925,-8.242451885085787,43,True
9,20260926,-8.372211751628631,16,True
10,20260927,-8.058869315411574,12,True
11,20260928,-8.242457877201028,46,True
12,20260929,-8.409184835029308,18,True
13,20260930,-8.242451885085787,43,True
14,20260931,-8.437307533368914,23,True
15,20260932,-8.242894549387957,43,True
16,20260933,-8.242456526947418,51,True
17,20260934,-8.242456474911153,45,True
18,20260935,-8.242451885085787,43,True
19,20260936,-8.406410739649434,23,True
