restart,seed,loglik,n_iter,converged
0,20260917,-3335.0926164330504,46,True
1,20260918,-3390.359359889771,87,True
2,20260919,-3297.235503689684,52,True
3,20260920,-3329.9021999782767,36,True
4,20260921,-3298.1025767647975,24,True
5,20260922,-3261.286224692081,37,True
6,20260923,-3279.1511252352548,16,True
7,20260924,-3310.5545305915184,33,True
8,20260925,-3366.6467606710676,34,True
9,20260926,-3324.8740088497157,31,True
10,20260927,-3354.112605989921,36,True
11,20260928,-3323.9262051594333,42,True
12,20260929,-3298.1025814991735,41,True
13,20260930,-3336.447332372425,27,True
14,20260931,-3263.314374604172,68,True
15,20260932,-3381.019595900165,45,True
16,20260933,-3263.698481075007,71,True
17,20260934,-3315.953896353227,41,True
18,20260935,-3322.1850647151305,18,True
19,20260936,-3276.8322628153983,28,True
