restart,seed,loglik,n_iter,converged
0,20260917,-2601.1722477198014,27,True
1,20260918,-2485.6071739248378,48,True
2,20260919,-2582.3867110951096,14,True
3,20260920,-2475.4424041236857,32,True
4,20260921,-2549.6406960426275,29,True
5,20260922,-2489.437240165082,27,True
6,20260923,-2552.2428737972677,18,True
7,20260924,-2547.0017309012214,29,True
8,20260925,-2501.977871134815,23,True
9,20260926,-2568.8347637222623,31,True
10,20260927,-2501.977849515373,20,True
11,20260928,-2522.3888533227146,26,True
12,20260929,-2568.834780547287,34,True
13,20260930,-2548.0910837934807,17,True
14,20260931,-2503.4746786602027,21,True
15,20260932,-2710.022766118418,36,True
16,20260933,-2542.824898388762,20,True
17,20260934,-2714.3233971078785,28,True
18,20260935,-2548.5571589868996,40,True
19,20260936,-2537.8627521438325,16,True
