refit_date,state,expected_duration
2004-12-31,0,13.92403201442348
2004-12-31,1,32.157330723366684
2004-12-31,2,20.27941643284539
2005-12-31,0,56.95303676215193
2005-12-31,1,34.77985348513246
2005-12-31,2,52.48724435601664
2006-12-31,0,57.102727960639875
2006-12-31,1,40.50647199900242
2006-12-31,2,52.88429689686088
2007-12-31,0,19.329777305362754
2007-12-31,1,37.5050037619027
2007-12-31,2,34.71882642699821
2008-12-31,0,44.33359360517472
2008-12-31,1,18.22107531486414
2008-12-31,2,23.920089720530008
2009-12-31,0,12.96349985397066
2009-12-31,1,31.599595924560113
2009-12-31,2,49.399608387574546
2010-12-31,0,41.13552515526681
2010-12-31,1,17.035632409092322
2010-12-31,2,21.47188743914614
2011-12-31,0,37.79630313020167
2011-12-31,1,17.45585417652112
2011-12-31,2,42.621758831613725
2012-12-31,0,40.63733406854136
2012-12-31,1,9.38300666605606
2012-12-31,2,34.3799819492872
2013-12-31,0,39.619305759637804
2013-12-31,1,17.3046028179336
2013-12-31,2,52.11413356974138
2014-12-31,0,30.45296461355704
2014-12-31,1,14.115639094380036
2014-12-31,2,40.57516065573754
2015-12-31,0,55.47329393003522
2015-12-31,1,18.818295912199744
2015-12-31,2,12.410109386134705
2016-12-31,0,48.82347799979707
2016-12-31,1,14.695912609342502
2016-12-31,2,45.91636878751626
2017-12-31,0,20.24370594283339
2017-12-31,1,18.62716543522596
2017-12-31,2,40.923958842719465
2018-12-31,0,33.82554271408689
2018-12-31,1,17.112957489321527
2018-12-31,2,24.23216865110364
2019-12-31,0,15.305869353879725
2019-12-31,1,20.919692152734047
2019-12-31,2,40.56599855024587
2020-12-31,0,50.22667717484061
2020-12-31,1,12.947849804379725
2020-12-31,2,39.512476704557166
2021-12-31,0,29.651065502068644
2021-12-31,1,19.6355261812028
2021-12-31,2,34.48605164860123
2022-12-31,0,38.37564141989547
2022-12-31,1,9.258373411604811
2022-12-31,2,24.729856041606844
2023-12-31,0,37.62931178198866
2023-12-31,1,18.013783703592804
2023-12-31,2,24.195350815935267
2024-12-31,0,45.78793924784402
2024-12-31,1,17.219665743036217
2024-12-31,2,30.94940694003706
2025-12-31,0,44.016027275110496
2025-12-31,1,7.946294551526137
2025-12-31,2,26.030340627195756
