restart,seed,lower_bound,n_iter,converged
0,20260917,-8.697283670899521,28,True
1,20260918,-8.735492576313492,33,True
2,20260919,-8.718643654591029,16,True
3,20260920,-8.60255366144343,28,True
4,20260921,-8.735492576313492,33,True
5,20260922,-8.735479909940697,33,True
6,20260923,-8.735479909940697,33,True
7,20260924,-8.735479909940697,33,True
8,20260925,-8.82712938666141,36,True
9,20260926,-8.735451663476038,30,True
10,20260927,-8.697409340373978,22,True
11,20260928,-8.735479909940697,33,True
12,20260929,-8.661735735479102,17,True
13,20260930,-8.735479909940697,33,True
14,20260931,-8.697283670899521,28,True
15,20260932,-8.697323741076419,31,True
16,20260933,-8.602441669370206,23,True
17,20260934,-8.735451663476038,30,True
18,20260935,-8.697297830257822,26,True
19,20260936,-8.69730687134995,27,True
