restart,seed,loglik,n_iter,converged
0,20260917,-2493.6537161304204,38,True
1,20260918,-2489.2815041720723,15,True
2,20260919,-2409.7468577803957,34,True
3,20260920,-2487.385801875776,28,True
4,20260921,-2429.9299263542975,11,True
5,20260922,-2412.398110219757,98,True
6,20260923,-2429.929930129918,17,True
7,20260924,-2432.569472987834,28,True
8,20260925,-2464.713248258412,24,True
9,20260926,-2429.9299231047153,19,True
10,20260927,-2467.226899310147,15,True
11,20260928,-2411.4613928784192,45,True
12,20260929,-2472.096204593634,20,True
13,20260930,-2396.665938053771,40,True
14,20260931,-2392.1536204486288,61,True
15,20260932,-2526.0680629725125,91,True
16,20260933,-2487.0833691425455,27,True
17,20260934,-2613.3905982582814,23,True
18,20260935,-2445.9300399657823,21,True
19,20260936,-2433.258883043272,24,True
