restart,seed,lower_bound,n_iter,converged
0,20260917,-8.696750433356934,51,True
1,20260918,-8.696767107560051,49,True
2,20260919,-8.637050304969879,21,True
3,20260920,-8.633042243352556,24,True
4,20260921,-8.691672345841313,44,True
5,20260922,-8.696767107560051,49,True
6,20260923,-8.691672345841313,44,True
7,20260924,-8.637071229232943,20,True
8,20260925,-8.696720540187911,50,True
9,20260926,-8.691672345841313,44,True
10,20260927,-8.696758789940883,53,True
11,20260928,-8.69165164809266,53,True
12,20260929,-8.691656403038477,54,True
13,20260930,-8.691672345841313,44,True
14,20260931,-8.696745274690619,48,True
15,20260932,-8.69165164809266,53,True
16,20260933,-8.691672345841313,44,True
17,20260934,-8.691672345841313,44,True
18,20260935,-8.696767107560051,49,True
19,20260936,-8.581532581015269,26,True
