restart,seed,loglik,n_iter,converged
0,20260917,-2255.5379236186,45,True
1,20260918,-2169.642970962266,49,True
2,20260919,-2147.368270518276,27,True
3,20260920,-2207.6187717538382,26,True
4,20260921,-2157.2436356896083,14,True
5,20260922,-2173.8628200615963,29,True
6,20260923,-2122.2919205286717,57,True
7,20260924,-2151.7009229876703,26,True
8,20260925,-2163.93873435435,26,True
9,20260926,-2239.7782698515493,12,True
10,20260927,-2190.088897585315,15,True
11,20260928,-2216.3353976774974,18,True
12,20260929,-2145.9683340052648,19,True
13,20260930,-2116.0853849782256,31,True
14,20260931,-2203.241148892168,78,True
15,20260932,-2393.9125900908434,31,True
16,20260933,-2156.6173826931044,24,True
17,20260934,-2389.0952438514637,34,True
18,20260935,-2224.234347539901,14,True
19,20260936,-2157.2436431158944,27,True
