restart,seed,lower_bound,n_iter,converged
0,20260917,-8.682313287539156,21,True
1,20260918,-8.682314174729589,22,True
2,20260919,-8.68242472056969,34,True
3,20260920,-8.626758289480344,8,True
4,20260921,-8.732312273702853,14,True
5,20260922,-8.732312273702853,14,True
6,20260923,-8.626732928166803,9,True
7,20260924,-8.682313287539156,21,True
8,20260925,-8.626732928166803,9,True
9,20260926,-8.626732928166803,9,True
10,20260927,-8.732312273702853,14,True
11,20260928,-8.626733592861475,8,True
12,20260929,-8.626734149588032,9,True
13,20260930,-8.626728741468048,9,True
14,20260931,-8.626732928166803,9,True
15,20260932,-8.626732928166803,9,True
16,20260933,-8.733506906643079,22,True
17,20260934,-8.682424851666564,39,True
18,20260935,-8.682314174729589,22,True
19,20260936,-8.626730219895382,9,True
