restart,seed,lower_bound,n_iter,converged
0,20260917,-8.846314375326546,52,True
1,20260918,-8.675561693121335,35,True
2,20260919,-8.732686481751848,66,True
3,20260920,-8.687650122045632,45,True
4,20260921,-8.846360369663646,56,True
5,20260922,-8.675541767563335,34,True
6,20260923,-8.702052487157392,59,True
7,20260924,-8.894688147483956,27,True
8,20260925,-8.702062811132269,52,True
9,20260926,-8.846360874746413,78,True
10,20260927,-8.702052487157392,59,True
11,20260928,-8.675541767563335,34,True
12,20260929,-8.675541767563335,34,True
13,20260930,-8.846366222486951,49,True
14,20260931,-8.894688147483956,27,True
15,20260932,-8.846366222486953,49,True
16,20260933,-8.846360369663646,56,True
17,20260934,-8.846318544013178,52,True
18,20260935,-8.732686481751848,66,True
19,20260936,-8.666693465609116,20,True
