restart,seed,lower_bound,n_iter,converged
0,20260917,-8.76239659583816,14,True
1,20260918,-8.580290204922187,12,True
2,20260919,-8.677364001398253,23,True
3,20260920,-8.580225351839907,10,True
4,20260921,-8.701178513395412,19,True
5,20260922,-8.580251103928386,14,True
6,20260923,-8.677364001398255,23,True
7,20260924,-8.58612296203919,15,True
8,20260925,-8.580181286091932,15,True
9,20260926,-8.580232301048689,14,True
10,20260927,-8.580251103928386,14,True
11,20260928,-8.699918030805645,18,True
12,20260929,-8.677364001398256,23,True
13,20260930,-8.681384924136605,23,True
14,20260931,-8.681429456022219,22,True
15,20260932,-8.580264358396004,13,True
16,20260933,-8.699908578520878,15,True
17,20260934,-8.580251103928386,14,True
18,20260935,-8.677364001398256,23,True
19,20260936,-8.677338235979173,25,True
