restart,seed,lower_bound,n_iter,converged
0,20260917,-8.573757613512711,17,True
1,20260918,-8.573757613512711,17,True
2,20260919,-8.747692508127386,18,True
3,20260920,-8.601157148597915,27,True
4,20260921,-8.51108334122915,23,True
5,20260922,-8.537389829080661,57,True
6,20260923,-8.698663662264751,18,True
7,20260924,-8.53740009949989,54,True
8,20260925,-8.54371258882443,40,True
9,20260926,-8.511053095272175,24,True
10,20260927,-8.573771046212071,16,True
11,20260928,-8.573757613512711,17,True
12,20260929,-8.637186455334334,32,True
13,20260930,-8.57373894875074,17,True
14,20260931,-8.511053095272175,24,True
15,20260932,-8.573727069628879,17,True
16,20260933,-8.645114753796141,41,True
17,20260934,-8.566069291670264,37,True
18,20260935,-8.566068299015859,45,True
19,20260936,-8.645172284719884,42,True
