restart,seed,lower_bound,n_iter,converged
0,20260917,-8.971325425768043,19,True
1,20260918,-8.918046445096863,32,True
2,20260919,-8.925285308184936,35,True
3,20260920,-8.920983974763615,30,True
4,20260921,-8.916731925079807,29,True
5,20260922,-8.971409238445652,18,True
6,20260923,-8.97140923844565,18,True
7,20260924,-8.91824854905531,28,True
8,20260925,-8.92529965811036,22,True
9,20260926,-8.918046445096863,32,True
10,20260927,-8.910841656762319,29,True
11,20260928,-8.916476515579726,15,True
12,20260929,-8.91824854905531,28,True
13,20260930,-8.971409238445652,18,True
14,20260931,-8.92065874378152,20,True
15,20260932,-8.906342685959224,26,True
16,20260933,-8.971409238445652,18,True
17,20260934,-8.91822631787655,32,True
18,20260935,-8.916533246830122,17,True
19,20260936,-8.91972841592744,19,True
