restart,seed,loglik,n_iter,converged
0,20260917,-2986.8376432759687,34,True
1,20260918,-2906.3882012222102,62,True
2,20260919,-2897.737719634754,33,True
3,20260920,-2888.941385086709,42,True
4,20260921,-2936.3996961652174,26,True
5,20260922,-2988.7191379363258,49,True
6,20260923,-2925.6070139866365,35,True
7,20260924,-2976.3318435142146,19,True
8,20260925,-2961.540990719334,38,True
9,20260926,-2898.7986294927655,40,True
10,20260927,-3032.533416565968,8,True
11,20260928,-2952.4451988539495,25,True
12,20260929,-3008.1001256559052,28,True
13,20260930,-2889.9494267444597,30,True
14,20260931,-2965.3579977780146,79,True
15,20260932,-3134.881580177715,33,True
16,20260933,-2940.7464428156936,111,True
17,20260934,-3121.8621972606334,32,True
18,20260935,-2963.0435552793015,17,True
19,20260936,-2954.0566765648505,66,True
