restart,seed,loglik,n_iter,converged
0,20260917,-2882.1674802903785,25,True
1,20260918,-2809.580939755985,23,True
2,20260919,-2809.5808982426706,30,True
3,20260920,-2733.49650364117,29,True
4,20260921,-2767.508746703607,22,True
5,20260922,-2743.0343911138793,17,True
6,20260923,-2914.5795819565606,26,True
7,20260924,-2810.292043746813,31,True
8,20260925,-2800.651032488585,44,True
9,20260926,-2810.366699441642,45,True
10,20260927,-2936.6265928730954,17,True
11,20260928,-2765.59258548185,22,True
12,20260929,-2846.879181959192,28,True
13,20260930,-2740.564988060544,44,True
14,20260931,-2758.026058259634,35,True
15,20260932,-2833.880219445219,20,True
16,20260933,-2691.580045746413,84,True
17,20260934,-2991.669132828192,40,True
18,20260935,-2810.2920564665155,19,True
19,20260936,-2809.580900814183,33,True
