restart,seed,lower_bound,n_iter,converged
0,20260917,-8.696206552904004,25,True
1,20260918,-8.75804088504576,32,True
2,20260919,-8.68261951524781,30,True
3,20260920,-8.598477020980996,24,True
4,20260921,-8.771584991560092,22,True
5,20260922,-8.758094546442548,28,True
6,20260923,-8.758094546442548,28,True
7,20260924,-8.780531875566327,18,True
8,20260925,-8.758094546442548,28,True
9,20260926,-8.768097086554402,33,True
10,20260927,-8.78832290565581,38,True
11,20260928,-8.682587203873043,29,True
12,20260929,-8.672000985545203,38,True
13,20260930,-8.696169462357211,20,True
14,20260931,-8.672016950253989,36,True
15,20260932,-8.780511421678039,15,True
16,20260933,-8.758094546442548,28,True
17,20260934,-8.758094546442548,28,True
18,20260935,-8.696173055894038,21,True
19,20260936,-8.758094546442548,28,True
