restart,seed,loglik,n_iter,converged
0,20260917,-1171.389783610683,12,True
1,20260918,-1036.7455428345913,30,True
2,20260919,-1170.1388983233683,40,True
3,20260920,-1023.2971422695393,15,True
4,20260921,-1163.4391478992986,65,True
5,20260922,-1054.4390960392784,34,True
6,20260923,-1146.4299506231469,11,True
7,20260924,-1101.8808506784005,44,True
8,20260925,-1072.4511845275329,12,True
9,20260926,-1023.7574474616742,57,True
10,20260927,-1169.4023844851622,16,True
11,20260928,-1102.1232250760258,22,True
12,20260929,-1054.4644624168093,21,True
13,20260930,-1057.8021118564875,21,True
14,20260931,-1088.7256097901657,26,True
15,20260932,-1078.5352274489985,14,True
16,20260933,-1143.1410217838381,12,True
17,20260934,-1136.8336333703073,14,True
18,20260935,-1021.8021782249572,20,True
19,20260936,-998.3814987273454,46,True
