K,loglik,m,T,bic,converged
2,-1281.446349737585,72,168,2931.8181059922044,True
3,-1165.0119948042513,111,168,2898.7839913222642,True
4,-998.3814987273454,152,168,2775.605522323986,True
5,-935.213628096478,195,168,2869.6002321765914,True
