restart,seed,loglik,n_iter,converged
0,20260917,-3577.5727945429153,81,True
1,20260918,-3394.4240935054145,68,True
2,20260919,-3350.283120120535,43,True
3,20260920,-3412.3032881225845,26,True
4,20260921,-3436.6647483903503,20,True
5,20260922,-3376.515947175797,43,True
6,20260923,-3487.565071574382,35,True
7,20260924,-3415.604305128088,17,True
8,20260925,-3465.8026945486104,34,True
9,20260926,-3407.6480538643823,23,True
10,20260927,-3454.4219860309895,36,True
11,20260928,-3454.0151305079044,15,True
12,20260929,-3465.7753374511253,28,True
13,20260930,-3352.34600238539,38,True
14,20260931,-3389.8460864271174,55,True
15,20260932,-3655.0040854133504,48,True
16,20260933,-3380.0985646543218,69,True
17,20260934,-3353.635143766602,72,True
18,20260935,-3352.830998082556,27,True
19,20260936,-3352.3460071301224,42,True
