restart,seed,lower_bound,n_iter,converged
0,20260917,-8.53672705880993,9,True
1,20260918,-8.530956822494842,25,True
2,20260919,-8.307252286745955,66,True
3,20260920,-8.536635625044743,14,True
4,20260921,-8.530960959223618,24,True
5,20260922,-8.669901299239259,18,True
6,20260923,-8.536635625044743,14,True
7,20260924,-8.530961670721473,25,True
8,20260925,-8.536663143208022,14,True
9,20260926,-8.536635625044743,14,True
10,20260927,-8.536663143208022,14,True
11,20260928,-8.536666290701474,12,True
12,20260929,-8.536663143208022,14,True
13,20260930,-8.559300316031498,39,True
14,20260931,-8.530979644835035,24,True
15,20260932,-8.536666290701474,12,True
16,20260933,-8.66990129923926,18,True
17,20260934,-8.536663143208022,14,True
18,20260935,-8.669880641386172,19,True
19,20260936,-8.559221452399408,35,True
