restart,seed,loglik,n_iter,converged
0,20260917,-1594.5915728975483,38,True
1,20260918,-1392.525790189134,29,True
2,20260919,-1399.5370090429285,15,True
3,20260920,-1436.289706272371,22,True
4,20260921,-1401.9903113463417,10,True
5,20260922,-1406.112214957437,20,True
6,20260923,-1392.525775433344,25,True
7,20260924,-1407.656648275895,15,True
8,20260925,-1403.106652129399,38,True
9,20260926,-1315.1361378816464,37,True
10,20260927,-1344.0908751777397,44,True
11,20260928,-1403.7016133792604,20,True
12,20260929,-1403.8158561274565,18,True
13,20260930,-1404.6367105378379,22,True
14,20260931,-1383.056636625739,23,True
15,20260932,-1462.9184724929398,90,True
16,20260933,-1382.7310056502934,41,True
17,20260934,-1525.2997817963244,150,True
18,20260935,-1367.23954608087,28,True
19,20260936,-1391.717159844824,23,True
