restart,seed,lower_bound,n_iter,converged
0,20260917,-8.979277917807137,17,True
1,20260918,-8.977614979685608,19,True
2,20260919,-8.97900431087025,16,True
3,20260920,-8.97847516760734,26,True
4,20260921,-8.974035754503534,26,True
5,20260922,-8.978981350680698,16,True
6,20260923,-8.978962785122379,15,True
7,20260924,-9.01976816311403,19,True
8,20260925,-9.01976816311403,19,True
9,20260926,-8.974043625263862,20,True
10,20260927,-8.97897230178958,18,True
11,20260928,-8.978981350680698,16,True
12,20260929,-8.979277917807137,17,True
13,20260930,-9.019771805412928,21,True
14,20260931,-8.978962239236184,19,True
15,20260932,-9.01977309610477,19,True
16,20260933,-8.97847516760734,26,True
17,20260934,-8.977961634166576,24,True
18,20260935,-9.01976816311403,19,True
19,20260936,-8.978962938994362,19,True
