restart,seed,lower_bound,n_iter,converged
0,20260917,-8.601193530618163,7,True
1,20260918,-8.601193530618163,7,True
2,20260919,-8.721083987925557,29,True
3,20260920,-8.719366552183857,25,True
4,20260921,-8.601193044300194,7,True
5,20260922,-8.719366552183857,25,True
6,20260923,-8.601193530618163,7,True
7,20260924,-8.719366552183859,25,True
8,20260925,-8.601234222668886,7,True
9,20260926,-8.691339277378924,19,True
10,20260927,-8.719406217271857,22,True
11,20260928,-8.601193530618163,7,True
12,20260929,-8.691339277378924,19,True
13,20260930,-8.601193530618163,7,True
14,20260931,-8.601193530618163,7,True
15,20260932,-8.601193044300194,7,True
16,20260933,-8.73561088244277,22,True
17,20260934,-8.737462585106762,21,True
18,20260935,-8.601193530618163,7,True
19,20260936,-8.601193530618165,7,True
