refit_date,state,expected_duration
2004-12-31,0,80.39955135422433
2004-12-31,1,86.58852305235575
2005-12-31,0,66.22767471650542
2005-12-31,1,112.65495203831235
2006-12-31,0,inf
2006-12-31,1,124.96608313322577
2007-12-31,0,inf
2007-12-31,1,124.9889611134536
2008-12-31,0,inf
2008-12-31,1,124.99975491176549
2009-12-31,0,2251799813685248.0
2009-12-31,1,124.99098620459472
2010-12-31,0,106.99783152942787
2010-12-31,1,131.97308555490233
2011-12-31,0,91.67206187373203
2011-12-31,1,79.66154486174898
2012-12-31,0,104.2124625019167
2012-12-31,1,79.38885780999058
2013-12-31,0,115.98351544372173
2013-12-31,1,79.50418829924101
2014-12-31,0,29055481466906.426
2014-12-31,1,124.99836279832785
2015-12-31,0,inf
2015-12-31,1,125.00194011587053
2016-12-31,0,inf
2016-12-31,1,125.00609015318884
2017-12-31,0,inf
2017-12-31,1,125.01120089743127
2018-12-31,0,1707340140.5687783
2018-12-31,1,125.01971050160648
2019-12-31,0,62987407375811.13
2019-12-31,1,125.02091494342243
2020-12-31,0,1286742750677284.5
2020-12-31,1,125.03120141064639
2021-12-31,0,9007199254740992.0
2021-12-31,1,125.03640537305971
2022-12-31,0,239.07976610763478
2022-12-31,1,133.4105153709277
2023-12-31,0,67.91372211590866
2023-12-31,1,63.6762325177293
2024-12-31,0,67.8854977557451
2024-12-31,1,67.71085690751217
2025-12-31,0,68.08565636902546
2025-12-31,1,71.5156688016243
