restart,seed,loglik,n_iter,converged
0,20260917,-3371.662113390096,24,True
1,20260918,-3435.265392768111,25,True
2,20260919,-3250.9374572717243,44,True
3,20260920,-3250.937462787438,45,True
4,20260921,-3435.2654071390616,25,True
5,20260922,-3239.2592860052087,22,True
6,20260923,-3366.6278315824443,49,True
7,20260924,-3410.1428849977538,21,True
8,20260925,-3435.2653969661064,27,True
9,20260926,-3225.2184447798672,21,True
10,20260927,-3225.218444789388,46,True
11,20260928,-3367.4078838129617,21,True
12,20260929,-3239.25924086477,23,True
13,20260930,-3367.407879396346,22,True
14,20260931,-3250.937456937472,48,True
15,20260932,-3785.4515857851807,22,True
16,20260933,-3367.4078794998336,24,True
17,20260934,-3225.218444787545,65,True
18,20260935,-3338.43021174333,42,True
19,20260936,-3250.9374575067004,45,True
