restart,seed,loglik,n_iter,converged
0,20260917,-2791.1600737096164,12,True
1,20260918,-2727.1820737932985,12,True
2,20260919,-2721.3774567515366,64,True
3,20260920,-2605.756215422833,12,True
4,20260921,-2727.182066426246,12,True
5,20260922,-2631.7361169808455,20,True
6,20260923,-2675.482263628174,13,True
7,20260924,-2631.7361169571936,25,True
8,20260925,-2804.431682058846,7,True
9,20260926,-2727.1820771693933,29,True
10,20260927,-2812.0040967727855,6,True
11,20260928,-2727.1820691647313,14,True
12,20260929,-2703.601377554612,38,True
13,20260930,-2784.6150060187765,46,True
14,20260931,-2605.756204491063,10,True
15,20260932,-2756.284890848633,36,True
16,20260933,-2605.7562121303104,17,True
17,20260934,-2726.5762326990475,22,True
18,20260935,-2738.6542917466923,16,True
19,20260936,-2727.1820699442324,13,True
