refit_date,state,matched_distance,sort_rule_state
2004-12-31,0,0.0,0
2004-12-31,1,0.0,1
2005-12-31,0,0.7690962955356289,0
2005-12-31,1,0.5905588315063859,1
2006-12-31,0,0.728767805083942,1
2006-12-31,1,0.24884701515688468,0
2007-12-31,0,0.1936127051862865,1
2007-12-31,1,0.0003819224798623842,0
2008-12-31,0,0.3062085953519257,0
2008-12-31,1,0.0001860291380198833,1
2009-12-31,0,0.5348940624266841,0
2009-12-31,1,0.00014364063891689758,1
2010-12-31,0,0.0970686068517713,0
2010-12-31,1,0.19343614529352662,1
2011-12-31,0,0.9213012030728857,0
2011-12-31,1,0.42452464525321865,1
2012-12-31,0,0.265686152424318,0
2012-12-31,1,0.011807361750222617,1
2013-12-31,0,0.22205874837235556,0
2013-12-31,1,0.009010472488181652,1
2014-12-31,0,0.6602783777439057,0
2014-12-31,1,0.40631393296101914,1
2015-12-31,0,0.21848712165210565,0
2015-12-31,1,6.116997116093991e-05,1
2016-12-31,0,0.09190266340902341,0
2016-12-31,1,7.949909533053183e-05,1
2017-12-31,0,0.12374953270099627,0
2017-12-31,1,0.00010135980271126363,1
2018-12-31,0,0.11798382066694672,1
2018-12-31,1,0.000173354280882918,0
2019-12-31,0,0.10392458452694103,0
2019-12-31,1,2.4467197925088365e-05,1
2020-12-31,0,0.17365280548486198,0
2020-12-31,1,0.00021579544296759196,1
2021-12-31,0,0.14983695984467937,0
2021-12-31,1,0.00010625639748943948,1
2022-12-31,0,0.017181171434008848,0
2022-12-31,1,0.29821438055261557,1
2023-12-31,0,0.34332026618371997,0
2023-12-31,1,0.4438907236617675,1
2024-12-31,0,0.00500743147301863,0
2024-12-31,1,0.06401909681796479,1
2025-12-31,0,0.00493883420688415,0
2025-12-31,1,0.04467197394027594,1
