restart,seed,loglik,n_iter,converged
0,20260917,-2402.7202947914734,35,True
1,20260918,-2442.1564144929757,15,True
2,20260919,-2494.3119849508234,9,True
3,20260920,-2442.156514689207,19,True
4,20260921,-2442.1564008828873,12,True
5,20260922,-2442.156351149963,14,True
6,20260923,-2442.1564939713608,15,True
7,20260924,-2494.3119847659523,10,True
8,20260925,-2442.156513779814,16,True
9,20260926,-2442.1564877371397,17,True
10,20260927,-2480.364693106219,10,True
11,20260928,-2441.231265233036,10,True
12,20260929,-2480.3646806657616,10,True
13,20260930,-2442.156524315056,23,True
14,20260931,-2442.1563926334557,16,True
15,20260932,-2441.231236716926,12,True
16,20260933,-2442.156469943652,12,True
17,20260934,-2402.7202963850636,40,True
18,20260935,-2494.3119857340316,9,True
19,20260936,-2480.3646924654154,7,True
