factor,state_a,state_b,sharpe_diff,diff_p05,diff_p95,excludes_zero,n_a,n_b
Mkt-RF,0,1,0.2904510889276224,-1.4208543163883252,1.5659439481382582,False,30,96
Mkt-RF,0,2,0.11458765899851486,-1.7058854820247478,1.4859851185665367,False,30,72
Mkt-RF,1,2,-0.17586342992910753,-0.9736085968935987,0.6528134566535714,False,96,72
SMB,0,1,-0.6146439618984828,-1.9975123505007844,1.2045905850044172,False,30,96
SMB,0,2,-0.7875497168839913,-2.184942551504217,1.1082088861871966,False,30,72
SMB,1,2,-0.17290575498550853,-0.8769003411533579,0.570213765262259,False,96,72
HML,0,1,-1.4739244495589177,-2.5467790970909983,-0.22119799087716852,True,30,96
HML,0,2,-1.5029402481909249,-2.5426468370580713,-0.19324942971891093,True,30,72
HML,1,2,-0.029015798632007372,-0.9816902779500442,0.9959580281936364,False,96,72
RMW,0,1,-0.7132703702365656,-1.9001493607602997,0.4285512359693957,False,30,96
RMW,0,2,-1.1974836405541966,-2.3517109121914523,-0.06190128761125212,True,30,72
RMW,1,2,-0.48421327031763106,-1.332674799534246,0.3510966277700745,False,96,72
CMA,0,1,-1.0614735041195626,-2.5281916389130954,0.19666586998653823,False,30,96
CMA,0,2,-1.682003350262267,-3.091550531401911,-0.4148203758503943,True,30,72
CMA,1,2,-0.6205298461427046,-1.6360371829567952,0.2875422107347777,False,96,72
UMD,0,1,0.6262840052824208,-1.1359660713743263,1.723480012410612,False,30,96
UMD,0,2,-0.2272442479962564,-2.0864055840027174,0.9377844457932398,False,30,72
UMD,1,2,-0.8535282532786772,-1.6711329130452894,-0.09493613041777589,True,96,72
