restart,seed,loglik,n_iter,converged
0,20260917,-1970.0174608416996,55,True
1,20260918,-2033.3365221310255,28,True
2,20260919,-2020.1794113087512,11,True
3,20260920,-1978.7700006655816,27,True
4,20260921,-2020.1794018120017,12,True
5,20260922,-2020.1794035008531,13,True
6,20260923,-1994.532146044562,19,True
7,20260924,-2033.3365198804345,25,True
8,20260925,-2032.7890869866526,18,True
9,20260926,-2033.3365232079075,30,True
10,20260927,-2011.5699851294728,15,True
11,20260928,-2020.179401359196,11,True
12,20260929,-2033.336524530375,24,True
13,20260930,-2020.1794030944882,14,True
14,20260931,-2020.1794155988314,17,True
15,20260932,-2032.7890865794247,19,True
16,20260933,-2033.3365198508307,28,True
17,20260934,-2035.0076897969875,22,True
18,20260935,-2020.1794024207413,11,True
19,20260936,-2020.1794025578915,11,True
