restart,seed,loglik,n_iter,converged
0,20260917,-3022.8241269779296,28,True
1,20260918,-3101.192124759679,23,True
2,20260919,-3101.1921500620733,15,True
3,20260920,-3101.192155593548,16,True
4,20260921,-3101.1921521019976,14,True
5,20260922,-3101.192151729963,18,True
6,20260923,-3134.749712210253,30,True
7,20260924,-3101.192153238385,16,True
8,20260925,-3101.192151367798,20,True
9,20260926,-3101.192132777943,15,True
10,20260927,-3101.1921494123876,15,True
11,20260928,-3101.1921527663358,18,True
12,20260929,-3101.1921568132702,10,True
13,20260930,-3101.1921193519156,28,True
14,20260931,-3099.1334972409163,42,True
15,20260932,-3122.3988271367707,20,True
16,20260933,-3101.1921265753103,30,True
17,20260934,-3101.192153993139,20,True
18,20260935,-3101.1921501114552,11,True
19,20260936,-3101.1921548382525,16,True
