restart,seed,loglik,n_iter,converged
0,20260917,-1266.5161588553958,24,True
1,20260918,-1289.675901672981,14,True
2,20260919,-1266.5161261143041,8,True
3,20260920,-1276.3717681076082,20,True
4,20260921,-1266.516161212296,8,True
5,20260922,-1266.5161831010666,10,True
6,20260923,-1276.3717694017594,16,True
7,20260924,-1289.6759024420933,18,True
8,20260925,-1278.1257782180355,11,True
9,20260926,-1285.4908872860021,9,True
10,20260927,-1266.516151157771,10,True
11,20260928,-1266.162395765729,24,True
12,20260929,-1277.545479598173,16,True
13,20260930,-1266.5161802632065,12,True
14,20260931,-1266.5161783522346,10,True
15,20260932,-1278.1257656620164,24,True
16,20260933,-1266.516184447414,15,True
17,20260934,-1266.5161787790712,18,True
18,20260935,-1266.516144459356,8,True
19,20260936,-1266.5161839801985,15,True
