restart,seed,loglik,n_iter,converged
0,20260917,-2984.561066068139,27,True
1,20260918,-2981.0095210325476,20,True
2,20260919,-2978.682343923726,18,True
3,20260920,-2981.0095276708707,17,True
4,20260921,-2981.0091942695576,15,True
5,20260922,-2981.009524894397,21,True
6,20260923,-2981.009177284981,30,True
7,20260924,-2981.009497105061,21,True
8,20260925,-2981.009195263065,31,True
9,20260926,-3012.831072615917,32,True
10,20260927,-3036.2513368725195,11,True
11,20260928,-2981.0095090323616,19,True
12,20260929,-2978.6823455284757,18,True
13,20260930,-2978.6823431729626,12,True
14,20260931,-2981.0091811705693,22,True
15,20260932,-3180.1113379454696,95,True
16,20260933,-2981.0095121354652,20,True
17,20260934,-3180.18843829146,33,True
18,20260935,-2981.0095088462435,19,True
19,20260936,-2978.6823401961697,13,True
