restart,seed,loglik,n_iter,converged
0,20260917,-1730.2786122531206,89,True
1,20260918,-1767.9012793399115,19,True
2,20260919,-1771.646544214126,12,True
3,20260920,-1771.6465421108217,12,True
4,20260921,-1806.5420956821797,15,True
5,20260922,-1767.9012498889965,26,True
6,20260923,-1767.9012880930234,15,True
7,20260924,-1796.5907543200956,25,True
8,20260925,-1806.6665429536938,17,True
9,20260926,-1767.9012395145037,25,True
10,20260927,-1806.5420929780737,19,True
11,20260928,-1796.5907539007094,25,True
12,20260929,-1767.9012551671974,18,True
13,20260930,-1767.9012407205907,25,True
14,20260931,-1767.9012475621419,32,True
15,20260932,-1796.1418856999758,18,True
16,20260933,-1767.9013026897514,18,True
17,20260934,-1942.5274278315144,65,True
18,20260935,-1796.1418879018047,17,True
19,20260936,-1767.9012757192033,16,True
