restart,seed,loglik,n_iter,converged
0,20260917,-1170.4947832171708,22,True
1,20260918,-1160.680841785396,14,True
2,20260919,-1140.6786781582691,13,True
3,20260920,-1132.9538595006018,28,True
4,20260921,-1140.678661805369,12,True
5,20260922,-1160.680683375742,9,True
6,20260923,-1212.2555321598109,5,True
7,20260924,-1160.680655451086,9,True
8,20260925,-1160.6806693276365,10,True
9,20260926,-1157.5542135617397,9,True
10,20260927,-1224.9288856349722,14,True
11,20260928,-1168.7378720149338,8,True
12,20260929,-1160.6806915706823,9,True
13,20260930,-1142.6276899746272,18,True
14,20260931,-1171.6429219634829,29,True
15,20260932,-1160.6806783429645,11,True
16,20260933,-1134.3007843763,14,True
17,20260934,-1347.6868241821776,21,True
18,20260935,-1169.2329143935708,11,True
19,20260936,-1160.6807118503455,10,True
