factor,n,ann_mean,ann_std,sharpe,sharpe_p05,sharpe_p95
Mkt-RF,198,0.13416363636363637,0.14891605781457756,0.900934649577481,0.5534990101909808,1.2748024501168047
SMB,198,-0.008672727272727275,0.09348790884461178,-0.0927684379714001,-0.4702557691397779,0.27635766605676104
HML,198,-0.005703030303030307,0.11247112894848446,-0.05070661561192726,-0.5088406623133859,0.39893302540152
RMW,198,0.0229939393939394,0.07740875025611052,0.29704573860013056,-0.06827934855431049,0.6835930715668983
CMA,198,0.004181818181818188,0.07369506986607556,0.056744883876461656,-0.4142355214431091,0.506241170893171
UMD,198,0.03271515151515152,0.12753711754360203,0.2565147475907706,-0.05764561955246598,0.613364206455598
