factor,state,n,ann_mean,ann_std,sharpe,excess_sharpe,sharpe_p05,sharpe_p95,excludes_zero
Mkt-RF,0,12,0.35800000000000004,0.25300191878539363,1.4150090312305892,0.5140743816531081,0.1710558993088226,3.591022706385456,True
Mkt-RF,1,91,0.09986373626373629,0.14262242742942222,0.7001965824284867,-0.20073806714899434,0.1178374938307801,1.3684551853491935,True
Mkt-RF,2,95,0.1387452631578947,0.13740242661563742,1.0097730191186045,0.10883836954112347,0.5651790227282917,1.5639727188054577,True
SMB,0,12,0.22199999999999998,0.15291309474814296,1.451805029292274,1.544573467263674,-0.8530654185607748,14.688311688311687,False
SMB,1,91,-0.018949450549450547,0.07552219129030471,-0.25091235073687823,-0.15814391276547812,-0.8078311135363242,0.32228458593942394,False
SMB,2,95,-0.027966315789473693,0.09753828804596895,-0.2867214131982038,-0.19395297522680371,-0.752422287757125,0.19138718377231384,False
HML,0,12,-0.14439999999999997,0.18432710055767706,-0.7833899603645983,-0.732683344752671,-3.531154405827217,2.566101758802708,False
HML,1,91,0.03058021978021978,0.1030888207665262,0.29663953426606104,0.3473461498779883,-0.39673073861448804,0.8496986903306117,False
HML,2,95,-0.022938947368421052,0.1096527889234971,-0.20919620552857224,-0.15848958991664497,-0.7498044009654949,0.33555724410731314,False
RMW,0,12,-0.0279,0.07657554202461538,-0.36434609879785745,-0.661391837397988,-3.8052865192800165,1.5049534223704542,False
RMW,1,91,0.055358241758241764,0.06933655522240696,0.7983990779563861,0.5013533393562555,0.12825028400118937,1.4199595944522676,True
RMW,2,95,-0.0015789473684210595,0.08429625967560335,-0.018730930346106817,-0.31577666894623735,-0.5086386455411536,0.48904453172345325,False
CMA,0,12,-0.012800000000000013,0.07398909010486245,-0.17299847831428888,-0.22974336219075053,-1.8907405652363138,1.0830891769887938,False
CMA,1,91,0.04926593406593406,0.06576092786525775,0.7491672588148168,0.6924223749383551,0.03521759102732455,1.4095744377128114,True
CMA,2,95,-0.03685894736842106,0.07932159690602733,-0.46467732378217275,-0.5214222076586345,-0.9937658473007894,0.030051195224338616,False
UMD,0,12,-0.08429999999999999,0.21387592622401852,-0.39415375768707245,-0.650668505277843,-2.0500901948253127,1.3301680922989907,False
UMD,1,91,0.05956483516483516,0.10222025261148615,0.5827107020682715,0.3261959544775009,0.11009563417421446,1.0682684893189809,True
UMD,2,95,0.02177684210526315,0.13607957904941695,0.1600301989276065,-0.09648454866316408,-0.2669671622986822,0.6213036562839177,False
