restart,seed,loglik,n_iter,converged
0,20260917,-1511.9570333586094,61,True
1,20260918,-1556.3258839709679,19,True
2,20260919,-1522.042192351473,12,True
3,20260920,-1560.3872913687983,21,True
4,20260921,-1560.0904137819366,47,True
5,20260922,-1522.0421922951602,15,True
6,20260923,-1560.3126780383877,16,True
7,20260924,-1553.1297017410016,15,True
8,20260925,-1535.7930979017208,14,True
9,20260926,-1553.5447148966891,13,True
10,20260927,-1558.0137118892499,10,True
11,20260928,-1522.042192438246,19,True
12,20260929,-1549.058958966396,7,True
13,20260930,-1549.0589587660636,33,True
14,20260931,-1522.042192321581,19,True
15,20260932,-1695.77277041952,97,True
16,20260933,-1522.0421923516383,19,True
17,20260934,-1560.3873049190152,26,True
18,20260935,-1522.0421924490754,18,True
19,20260936,-1549.058958768663,33,True
