refit_date,state,matched_distance,sort_rule_state
2009-12-31,0,0.0,0
2009-12-31,1,0.0,1
2009-12-31,2,0.0,2
2010-12-31,0,0.46573614145762576,0
2010-12-31,1,0.6522437648199311,1
2010-12-31,2,0.03773975508579315,2
2011-12-31,0,0.00018579504535681744,0
2011-12-31,1,0.3926037686355661,1
2011-12-31,2,0.010460928224045164,2
2012-12-31,0,1.1704153843272798,0
2012-12-31,1,0.6598988494350218,1
2012-12-31,2,0.02283199248115585,2
2013-12-31,0,0.8704942374745798,0
2013-12-31,1,2.239615716069403,1
2013-12-31,2,1.5237208853171387,2
2014-12-31,0,1.6345626131452415,0
2014-12-31,1,2.6676182790059584,2
2014-12-31,2,1.2091039723749686,1
2015-12-31,0,2.743734633477439,1
2015-12-31,1,0.7797177628425901,2
2015-12-31,2,0.9307462542682697,0
2016-12-31,0,0.1279287551640068,1
2016-12-31,1,0.05850743265955079,2
2016-12-31,2,0.27656865768110234,0
2017-12-31,0,0.0007793798768057552,1
2017-12-31,1,0.21603941540862087,2
2017-12-31,2,0.005996027857485587,0
2018-12-31,0,0.0005726337290227202,1
2018-12-31,1,0.18878810896289577,2
2018-12-31,2,0.006090809151772863,0
2019-12-31,0,0.035407481367389027,1
2019-12-31,1,0.08400377000882894,2
2019-12-31,2,0.27631766713866485,0
2020-12-31,0,0.8034573003793368,1
2020-12-31,1,0.002860107823852176,2
2020-12-31,2,0.0611760410081931,0
2021-12-31,0,1.4499387956967575,1
2021-12-31,1,0.0012088675605424423,2
2021-12-31,2,0.01672385353411944,0
2022-12-31,0,3.7987581332247617,0
2022-12-31,1,2.484669611672812,2
2022-12-31,2,1.321641388893395,1
2023-12-31,0,3.710496869468833,1
2023-12-31,1,2.4564423101991304,2
2023-12-31,2,1.5694987644773,0
2024-12-31,0,3.7599770599566313,0
2024-12-31,1,2.133411699687066,2
2024-12-31,2,1.7771393837606304,1
2025-12-31,0,3.7269700084138244,0
2025-12-31,1,2.091011366537614,2
2025-12-31,2,1.1092909210492394,1
