factor,state_a,state_b,sharpe_diff,diff_p05,diff_p95,excludes_zero,n_a,n_b
Mkt-RF,0,1,-0.7148124488021025,-2.905040789026658,0.6744435304256786,False,12,91
Mkt-RF,0,2,-0.4052360121119847,-2.489993651281301,0.9188054860939632,False,12,95
Mkt-RF,1,2,0.3095764366901178,-0.506171574864125,1.0871668550430762,False,91,95
SMB,0,1,-1.7027173800291522,-14.843301730528134,0.8755312857812549,False,12,91
SMB,0,2,-1.7385264424904778,-14.757216983151723,0.6749214125948494,False,12,95
SMB,1,2,-0.03580906246132559,-0.7419361565846391,0.7151685413049179,False,91,95
HML,0,1,1.0800294946306592,-2.342432628719655,3.8895973602804954,False,12,91
HML,0,2,0.5741937548360261,-2.8301926265704047,3.374565433586545,False,12,95
HML,1,2,-0.5058357397946333,-1.3054502797631842,0.42415266991277795,False,91,95
RMW,0,1,1.1627451767542436,-0.9975610910876779,4.65737418983184,False,12,91
RMW,0,2,0.34561516845175067,-1.6668478986414024,3.960706700535798,False,12,95
RMW,1,2,-0.8171300083024929,-1.660642021639166,-0.0004208066547171118,True,91,95
CMA,0,1,0.9221657371291057,-0.5471842210495389,2.808215915277738,False,12,91
CMA,0,2,-0.29167884546788386,-1.6753760115093514,1.6015766442374952,False,12,95
CMA,1,2,-1.2138445825969897,-2.072506001803138,-0.34205452797744385,True,91,95
UMD,0,1,0.976864459755344,-0.7658869298123141,2.612857706685758,False,12,91
UMD,0,2,0.5541839566146789,-1.156081461831475,2.2483980565647026,False,12,95
UMD,1,2,-0.42268050314066496,-1.028269730144996,0.24657664387878794,False,91,95
