refit_date,state,expected_duration
2009-12-31,0,13.00215444303562
2009-12-31,1,12.543829299321622
2009-12-31,2,32.90798232097206
2010-12-31,0,12.000204332754981
2010-12-31,1,18.57225567460106
2010-12-31,2,33.85412628041193
2011-12-31,0,12.000587084231277
2011-12-31,1,24.509433085714587
2011-12-31,2,33.9795378292487
2012-12-31,0,15.01445413593057
2012-12-31,1,29.26052334473624
2012-12-31,2,33.46282675284415
2013-12-31,0,13.000044382914005
2013-12-31,1,9.46481206748219
2013-12-31,2,86.98309567888589
2014-12-31,0,16.981934220475004
2014-12-31,1,23.35562792939813
2014-12-31,2,43.931509340760314
2015-12-31,0,32.809499737998024
2015-12-31,1,22.48365583070277
2015-12-31,2,21.20393763360633
2016-12-31,0,31.85063409838956
2016-12-31,1,22.865857325535014
2016-12-31,2,18.14780475274906
2017-12-31,0,31.84945854907417
2017-12-31,1,26.846709106126273
2017-12-31,2,18.096449492671628
2018-12-31,0,31.907783795371877
2018-12-31,1,30.79425535831856
2018-12-31,2,18.140576763996847
2019-12-31,0,31.653257862198714
2019-12-31,1,24.154535390017507
2019-12-31,2,20.582473031763243
2020-12-31,0,40.803465417816746
2020-12-31,1,24.13667792930697
2020-12-31,2,16.274089499150737
2021-12-31,0,52.80915636510252
2021-12-31,1,24.139218812315498
2021-12-31,2,16.197230683234675
2022-12-31,0,12.230485340952058
2022-12-31,1,9.932871372463625
2022-12-31,2,53.68591578793987
2023-12-31,0,27.344560947964297
2023-12-31,1,34.63997794176057
2023-12-31,2,22.772005635378214
2024-12-31,0,12.068547630989292
2024-12-31,1,14.874896255824593
2024-12-31,2,83.41100448263053
2025-12-31,0,27.340559681316897
2025-12-31,1,35.23914674622927
2025-12-31,2,22.39837532229181
