restart,seed,loglik,n_iter,converged
0,20260917,-2181.5192987869814,154,True
1,20260918,-2182.142561631541,18,True
2,20260919,-2182.142554239782,24,True
3,20260920,-2178.8210836778244,18,True
4,20260921,-2179.1025159795863,20,True
5,20260922,-2182.1425565516083,20,True
6,20260923,-2243.9442521876217,27,True
7,20260924,-2179.102515501939,20,True
8,20260925,-2200.155455188343,17,True
9,20260926,-2243.944261807511,34,True
10,20260927,-2224.364558527424,15,True
11,20260928,-2179.102516829248,20,True
12,20260929,-2179.1025114802,22,True
13,20260930,-2258.8942486405454,11,True
14,20260931,-2182.1425593845893,18,True
15,20260932,-2178.821083194982,16,True
16,20260933,-2179.1025125111705,14,True
17,20260934,-2182.1425542440247,25,True
18,20260935,-2182.1425551917478,23,True
19,20260936,-2182.142554265373,23,True
