date,p0,p1,p2
1991-01-31,4.647348059335137e-290,1.0,2.9518415314033922e-37
1991-02-28,8.148266383505944e-20,0.9999877734928143,1.2226507283664319e-05
1991-03-31,1.1551464850158012e-20,0.9999993244084644,6.755911293876947e-07
1991-04-30,7.586258320702599e-20,0.9999999303090614,6.969049736157494e-08
1991-05-31,9.735478281488406e-20,0.9999995204171923,4.795825683425737e-07
1991-06-30,3.3859690407619324e-21,0.999999229394531,7.706054032361407e-07
1991-07-31,5.519219163525024e-22,0.999999546766151,4.5323429107989706e-07
1991-08-31,1.5024787635065752e-19,0.9999999881902113,1.1809728537488193e-08
1991-09-30,2.3947699857661256e-15,0.9999999810806914,1.8919430305077094e-08
1991-10-31,5.204436967055827e-16,0.9999999869396561,1.3060042494908845e-08
1991-11-30,1.2377801121827564e-15,0.9999999600049713,3.9995176132452373e-08
1991-12-31,3.408033284944577e-11,0.9999997802224485,2.1974330836846798e-07
1992-01-31,6.854964085712637e-16,0.9999985022343328,1.4977660664106338e-06
1992-02-29,8.173222885514472e-16,0.9999984855524061,1.5144471535859284e-06
1992-03-31,1.2058765010012781e-17,0.999985551567776,1.4448432016224446e-05
1992-04-30,7.086381064915203e-18,0.9999423215404027,5.767845928881792e-05
1992-05-31,1.8471273715106704e-15,0.9998117617972494,0.00018823820250668058
1992-06-30,6.90947823984471e-14,0.9999461007075038,5.389929199900532e-05
1992-07-31,9.758899062856172e-12,0.9999970949280756,2.905062386054571e-06
1992-08-31,1.0615852228875271e-10,0.9999958244412348,4.17545284805391e-06
1992-09-30,4.281283443193548e-10,0.9999963022760466,3.697295764477947e-06
1992-10-31,1.0577851468041672e-12,0.9999982658488564,1.734150440420457e-06
1992-11-30,1.0728475157849669e-13,0.9999829005489533,1.7099450952807855e-05
1992-12-31,4.565336659752831e-12,0.9998290813172885,0.0001709186778764691
1993-01-31,5.922687352945203e-11,0.9999702753682399,2.972457285924883e-05
1993-02-28,4.888050287420031e-09,0.999946063388401,5.393172325312826e-05
1993-03-31,7.34463068115533e-09,0.9999465744815245,5.341817378145996e-05
1993-04-30,6.693941795052586e-09,0.9999719640492223,2.8029256518231863e-05
1993-05-31,6.20560998427678e-10,0.9999787224304757,2.127694877475087e-05
1993-06-30,4.082209496468615e-09,0.9999964082654443,3.5876525399817966e-06
1993-07-31,4.100772800140754e-09,0.9999921263089002,7.86958999845069e-06
1993-08-31,2.9382678596281665e-07,0.9999936606774037,6.045495748923712e-06
1993-09-30,1.823688182626026e-07,0.9999891260404231,1.0691590462395676e-05
1993-10-31,9.712381071538669e-08,0.999994686672399,5.216204048177625e-06
1993-11-30,7.018589762715499e-09,0.9999924048213086,7.588160081167224e-06
1993-12-31,7.235642606060036e-09,0.9999579249327019,4.2067831964262465e-05
1994-01-31,8.366387291633669e-08,0.9964797070029506,0.003520209333093561
1994-02-28,2.858358835356323e-08,0.8958926413583926,0.10410733005757197
1994-03-31,1.6242721565749914e-10,0.4387533870325177,0.5612466128050133
1994-04-30,6.2251557803285e-14,0.06090721779962184,0.9390927822000765
1994-05-31,5.780495492793614e-16,0.004163875289410075,0.9958361247106227
1994-06-30,4.6286522671205824e-18,9.21428039905883e-06,0.9999907857197069
1994-07-31,4.698128482594112e-17,2.8659288568283987e-06,0.9999971340707957
1994-08-31,8.344923664055374e-18,7.151718945921257e-07,0.9999992848281919
1994-09-30,2.1242346100948144e-20,3.7361492070911895e-08,0.9999999626388678
1994-10-31,9.066874619651991e-22,8.43112655398238e-09,0.9999999915689841
1994-11-30,5.775284458642796e-23,3.239560650028229e-08,0.9999999676047088
1994-12-31,2.2620508042985892e-23,1.1390884391919913e-08,0.9999999886094884
1995-01-31,1.7644401956226286e-21,3.152864990035637e-08,0.9999999684714571
1995-02-28,4.119362656819846e-18,5.928452217616735e-07,0.9999994071551493
1995-03-31,6.438834942514633e-17,1.459002712566126e-05,0.9999854099724208
1995-04-30,7.246381468578426e-15,0.009325972793972527,0.9906740272059698
1995-05-31,5.614863787184852e-10,0.5507052096055042,0.4492947898331416
1995-06-30,1.871989359276106e-10,0.966346438961699,0.033653560851298434
1995-07-31,8.483154991599262e-12,0.99653695288452,0.0034630471071629507
1995-08-31,6.5365639461099695e-12,0.9996106993165856,0.0003893006770299711
1995-09-30,1.5808775570277393e-11,0.9999729817039429,2.7018279856629056e-05
1995-10-31,8.72962120210409e-11,0.9999915184803718,8.48143262113944e-06
1995-11-30,1.0195697414696494e-09,0.9999942560399524,5.7429407110653245e-06
1995-12-31,1.3752569411217915e-08,0.9999904074153051,9.578832351949098e-06
1996-01-31,6.148675336598762e-09,0.9999986043031376,1.3895486337310685e-06
1996-02-29,1.9191582747249456e-10,0.9999651705956397,3.482921282693444e-05
1996-03-31,8.696424026426927e-11,0.994717752385497,0.0052822475277320095
1996-04-30,1.7374424522830565e-11,0.8886234454951587,0.1113765544875126
1996-05-31,4.608957924479904e-13,0.06985156575280119,0.9301484342464769
1996-06-30,8.663322863904836e-14,0.00043866080137072803,0.999561339198202
1996-07-31,2.22264561965679e-14,0.00017224178317478344,0.9998277582168213
1996-08-31,5.672394067642219e-16,2.073366562570944e-05,0.9999792663341713
1996-09-30,2.5503325107550664e-14,8.137053091197224e-06,0.9999918629468088
1996-10-31,1.7707179628192154e-12,1.0481086265623204e-05,0.999989518911564
1996-11-30,1.849208862521557e-11,2.4022063986607467e-05,0.9999759779177543
1996-12-31,4.0230088795415146e-13,1.6241893733975356e-06,0.9999983758102191
1997-01-31,2.791219304294991e-13,3.2371729776421624e-05,0.9999676282696941
1997-02-28,4.6193668878506924e-12,0.06977066838734333,0.930229331608403
1997-03-31,1.312449669911635e-13,0.32343066281573835,0.6765693371842935
1997-04-30,3.007573365979162e-12,0.779731635464293,0.2202683645323191
1997-05-31,1.3117025346547645e-12,0.9196672112784987,0.08033278872017216
1997-06-30,1.5350342310615672e-11,0.9845594054728961,0.015440594511666853
1997-07-31,1.117455262873204e-09,0.9994055194080677,0.0005944794743563293
1997-08-31,4.059439149403496e-11,0.999964862114924,3.5137844163390055e-05
1997-09-30,1.80948597452778e-10,0.9999573665438866,4.2633274769508277e-05
1997-10-31,1.8154082121963617e-08,0.9999611276004884,3.885424537172039e-05
1997-11-30,7.72224739627391e-09,0.9998861044897029,0.00011388778826021565
1997-12-31,3.1049053733728926e-08,0.9999804800413362,1.948890985208363e-05
1998-01-31,1.0208681233684395e-07,0.9999890242918149,1.087362112971476e-05
