date,p0,p1,p2,refit_date
2004-12-31,9.548255985940761e-26,1.0,4.2263498074680464e-30,2004-12-31
2005-01-31,2.507063646274746e-25,1.0,3.5093371818286034e-26,2004-12-31
2005-02-28,8.657454438511876e-27,1.0,1.2527863234022923e-24,2004-12-31
2005-03-31,4.223344668325484e-27,1.0,4.259132793841854e-22,2004-12-31
2005-04-30,7.18878371235484e-24,1.0,7.461044981995427e-20,2004-12-31
2005-05-31,3.4868428169573844e-22,1.0,9.50942124914923e-18,2004-12-31
2005-06-30,7.889484657017043e-19,0.9999999999998934,1.0666452729376864e-13,2004-12-31
2005-07-31,1.855735427978385e-14,0.9999999890837584,1.0916223109297192e-08,2004-12-31
2005-08-31,9.797338145701781e-11,0.9991038923591081,0.0008961075429184093,2004-12-31
2005-09-30,3.678138833722207e-07,0.002241494658861779,0.9977581375272548,2004-12-31
2005-10-31,2.4112392728037124e-09,8.472716813168544e-05,0.999915270420629,2004-12-31
2005-11-30,2.2005759673508316e-07,5.280764510060478e-09,0.9999997746616388,2004-12-31
2005-12-31,1.9089078081816823e-08,1.4199262063318256e-19,0.999999980910922,2005-12-31
2006-01-31,1.7480240161766017e-08,1.6068673373996788e-18,0.9999999825197599,2005-12-31
2006-02-28,5.5841815998387175e-08,2.0344518024970012e-20,0.9999999441581839,2005-12-31
2006-03-31,7.910613327872829e-08,5.786593507014828e-20,0.9999999208938668,2005-12-31
2006-04-30,3.6420586260361774e-09,2.1269351234217827e-18,0.9999999963579415,2005-12-31
2006-05-31,4.5273031853716627e-10,9.075286951244695e-20,0.9999999995472697,2005-12-31
2006-06-30,2.5016913507150966e-10,2.321459145013796e-21,0.9999999997498309,2005-12-31
2006-07-31,8.056033228847977e-09,1.692427687955412e-20,0.9999999919439667,2005-12-31
2006-08-31,2.3548346366058094e-08,2.767005937566063e-19,0.9999999764516537,2005-12-31
2006-09-30,1.8984723337418018e-07,1.0558154541905178e-18,0.9999998101527666,2005-12-31
2006-10-31,4.369663649558116e-07,3.8269582756605863e-17,0.999999563033635,2005-12-31
2006-11-30,2.0413643583422442e-07,4.3742073369544126e-15,0.9999997958635598,2005-12-31
2006-12-31,2.753176686877862e-05,6.472823904501437e-17,0.9999724682331311,2006-12-31
2007-01-31,0.006602062627142176,2.5831876224936756e-18,0.9933979373728578,2006-12-31
2007-02-28,0.011311841287375642,5.595141982255709e-14,0.9886881587125684,2006-12-31
