date,p0,p1,p2
1991-01-31,7.951221389127076e-157,1.0,0.0
1991-02-28,2.1232987186966393e-10,0.999999999787633,1.0830140321409369e-44
1991-03-31,5.302771750680441e-12,0.999999999994543,9.10723738220638e-44
1991-04-30,7.9366045519318e-12,0.9999999999922693,3.8160454062315606e-44
1991-05-31,3.3879930562191114e-11,0.999999999965894,3.060927636604972e-42
1991-06-30,6.502453511054891e-12,0.9999999999936335,1.1986949041096719e-44
1991-07-31,2.1555970895790895e-12,0.9999999999977263,1.6110595782745045e-42
1991-08-31,8.597147979080309e-11,0.9999999999140528,1.616606313762477e-39
1991-09-30,5.108710410861598e-09,0.9999999948913683,5.364951721322128e-38
1991-10-31,2.5642655560362797e-11,0.9999999999745341,5.89288191448551e-39
1991-11-30,1.2491413836047918e-12,0.9999999999986358,2.7060909096652178e-36
1991-12-31,1.7360733860081303e-11,0.9999999999827196,1.6229092742194205e-34
1992-01-31,1.9296150404371955e-15,1.0,2.520394409715451e-37
1992-02-29,6.164690321439121e-13,0.9999999999995453,1.1023580735261958e-36
1992-03-31,1.297507068200188e-12,0.9999999999986358,1.8382714116435533e-42
1992-04-30,6.053424571548493e-16,1.0,7.714908364936092e-44
1992-05-31,8.269215672807107e-17,1.0,9.01402844614894e-44
1992-06-30,1.6938263798734933e-19,1.0,1.6990282296614857e-40
1992-07-31,5.043075070848715e-17,1.0,1.7929610780494838e-37
1992-08-31,1.4828295840786276e-17,1.0,1.8213643883357143e-35
1992-09-30,1.3509485132577252e-19,1.0,2.9902808971579194e-31
1992-10-31,1.5682965920082545e-17,1.0,1.2612666660229152e-32
1992-11-30,4.2759448081316766e-15,1.0,1.1197277009656324e-34
1992-12-31,3.778701753782616e-16,1.0,4.101969477935809e-34
1993-01-31,4.3601714841099345e-19,1.0,8.06725502642512e-37
1993-02-28,4.307662748273796e-20,1.0,8.557398847178785e-34
1993-03-31,5.46464983148842e-20,1.0,1.337596360795456e-36
1993-04-30,1.8694397160695852e-22,1.0,9.08898405214793e-31
1993-05-31,4.932013374697768e-16,1.0,4.071553602065983e-29
1993-06-30,7.674505766678323e-15,1.0,5.438802393525528e-27
1993-07-31,2.6670044855238495e-14,1.0,1.7089433485565007e-23
1993-08-31,3.649430069667469e-12,0.999999999996362,4.8435708313085825e-21
1993-09-30,2.6209726419965572e-12,0.9999999999972715,1.0373179528280928e-19
1993-10-31,1.0309698284728444e-11,0.9999999999895408,9.401016431870117e-23
1993-11-30,2.1607953147198246e-13,1.0,5.615939133008179e-25
1993-12-31,2.659176246378645e-13,0.9999999999995453,6.896073177613885e-25
1994-01-31,9.730241544965852e-14,1.0,8.727542651910318e-21
1994-02-28,1.627387496683827e-11,0.9999999999836291,1.1774831581873778e-22
1994-03-31,5.010619621095601e-11,0.9999999999499778,4.311485557706027e-27
1994-04-30,9.923935885539032e-11,0.9999999999008651,3.839370831095732e-27
1994-05-31,6.2763299177509936e-09,0.9999999937235771,2.4633909904383845e-28
1994-06-30,1.5311363492310916e-09,0.9999999984688657,5.239056550437922e-30
1994-07-31,4.431702758259415e-09,0.9999999955684871,1.8193434223619602e-26
1994-08-31,2.8148391264698382e-09,0.9999999971851139,8.506503256412476e-29
1994-09-30,8.903999525137554e-11,0.9999999999108695,9.587589599183375e-35
1994-10-31,6.15952931068111e-11,0.9999999999386091,5.421590659997597e-34
1994-11-30,8.106110922880551e-08,0.9999999189390143,5.335535539781202e-37
1994-12-31,1.0547106781268398e-07,0.9999998945290882,8.87844417471776e-35
1995-01-31,5.410142450185202e-07,0.9999994589858587,2.8850046294476677e-30
1995-02-28,2.0783775940814254e-06,0.9999979216225936,5.387931872297211e-27
1995-03-31,9.031747865992011e-07,0.9999990968253301,2.9287493938742857e-28
1995-04-30,2.487950132072408e-07,0.9999997512050268,7.33317263255711e-27
