date,p0,p1,p2
2004-01-31,7.839898061661196e-179,1.0,2.3588319014535514e-123
2004-02-29,5.805233916693183e-10,0.9999999868441591,1.2575469141170088e-08
2004-03-31,7.329424361684003e-10,0.9999999945207492,4.746305846226739e-09
2004-04-30,5.967976887126143e-12,0.9999999692495298,3.0744403184050115e-08
2004-05-31,1.0602074578948959e-13,0.9999999963129085,3.6872041091007874e-09
2004-06-30,1.0035310052623338e-13,0.999999986138846,1.3860903765785993e-08
2004-07-31,3.48122372411133e-12,0.9999999625983953,3.7398071004381325e-08
2004-08-31,1.1844466671169082e-10,0.9999999308934118,6.898816151844875e-08
2004-09-30,3.1972673203839354e-12,0.999999898646825,1.0134997795604901e-07
2004-10-31,4.463637758064728e-10,0.999999745336059,2.542174247939991e-07
2004-11-30,2.0650843880009407e-12,0.998077863475536,0.0019221365223028425
2004-12-31,1.0958489418588717e-11,0.8146696277524167,0.18533037223659418
2005-01-31,4.110887558210337e-12,0.30339330511158025,0.6966066948844774
2005-02-28,2.0550403139014683e-14,0.06602718263033244,0.9339728173697616
2005-03-31,4.083551070519658e-15,0.0030374810710868875,0.9969625189290766
2005-04-30,6.075687797916084e-13,0.0006434799323846442,0.9993565200671798
2005-05-31,3.0431562132967e-11,0.00013690165658697027,0.999863098313202
2005-06-30,6.028671584476136e-13,3.666862673571704e-05,0.9999633313725219
2005-07-31,7.52114559596031e-15,8.224919714706874e-06,0.999991775080335
2005-08-31,1.209337200916525e-15,8.098282642543611e-06,0.9999919017173436
2005-09-30,1.4008734948017673e-17,7.632445655654512e-07,0.9999992367555208
2005-10-31,2.419792786774047e-15,7.364832794202135e-07,0.9999992635169276
2005-11-30,4.7204355958735844e-15,1.4609917086401196e-06,0.9999985390083325
2005-12-31,1.7057462610295047e-16,6.945476311196139e-07,0.9999993054523341
2006-01-31,2.3706137882516178e-17,5.136879087734844e-07,0.9999994863120674
2006-02-28,7.786629213065726e-18,1.6057297230320222e-07,0.9999998394269043
2006-03-31,9.835064098812304e-21,6.672269888826034e-08,0.9999999332771972
2006-04-30,2.667466117055943e-23,1.9660436643708577e-08,0.9999999803394533
2006-05-31,4.523683202234408e-23,6.486478744594703e-08,0.9999999351352947
2006-06-30,1.075166895273313e-23,2.8773741390655672e-08,0.9999999712263166
2006-07-31,1.4790039890701542e-21,5.929789094365038e-08,0.9999999407023115
2006-08-31,1.336165603371102e-20,6.076360426843545e-08,0.9999999392362061
2006-09-30,7.07466983901439e-18,1.0399709412449304e-07,0.9999998960029243
2006-10-31,2.7900374691306674e-16,1.0216581832237377e-06,0.9999989783419313
2006-11-30,6.222779536469679e-16,2.1924909061028557e-06,0.9999978075089918
2006-12-31,2.7053183878630964e-18,2.900621771664454e-07,0.9999997099376253
2007-01-31,5.938208705759823e-20,1.4961349882595817e-08,0.9999999850388123
2007-02-28,2.841928077474208e-17,6.368636080557152e-08,0.999999936313545
2007-03-31,4.666495765334104e-18,1.1725587064003637e-07,0.999999882744312
2007-04-30,8.011731292572798e-18,1.0022689627923094e-07,0.9999998997732341
2007-05-31,3.9872032686634215e-19,1.5333346105850816e-08,0.9999999846668289
2007-06-30,1.4021764040297242e-17,2.52581794883638e-08,0.9999999747419682
2007-07-31,1.0606751423986505e-12,5.265194188203472e-07,0.9999994734795586
2007-08-31,1.1948251871447586e-09,5.931584235501852e-05,0.9999406829628227
2007-09-30,9.491219286398378e-10,0.004985039602351954,0.9950149594486707
2007-10-31,2.875733596451127e-08,0.2066714797610839,0.7933284914814744
2007-11-30,1.7648719700510282e-05,0.9755075183455758,0.024474832934918745
2007-12-31,1.7507861321023382e-07,0.9994234540295036,0.0005763708919808953
2008-01-31,3.9371076333591725e-06,0.9999960607088098,2.1835455064917786e-09
2008-02-29,7.223142457621851e-07,0.9999992774567427,2.289153562101887e-10
2008-03-31,3.127541812655034e-06,0.9999968711789569,1.2791689042926154e-09
2008-04-30,2.991343832978532e-07,0.9999997000191337,8.465062365717442e-10
2008-05-31,2.6383584142982275e-08,0.9999999625956668,1.1020874265275305e-08
